1 

         1785813871 function calls (1686535384 primitive calls) in 538.854 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.044    0.044 __init__.py:299(loads)
        1    0.000    0.000    0.002    0.002 codecs.py:319(decode)
        1    0.000    0.000    0.035    0.035 encoder.py:182(encode)
        1    0.000    0.000    0.133    0.133 __init__.py:274(load)
        1    0.000    0.000    0.000    0.000 pathlib.py:649(_parse_args)
        1    0.000    0.000    0.000    0.000 pathlib.py:63(parse_parts)
        1    0.000    0.000    0.000    0.000 pathlib.py:669(_from_parts)
        2    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 pathlib.py:1024(__new__)
        1    0.000    0.000    0.035    0.035 __init__.py:183(dumps)
        3    0.000    0.000    0.000    0.000 _collections_abc.py:392(__subclasshook__)
        2    0.000    0.000    0.000    0.000 pathlib.py:709(__str__)
        2    0.000    0.000    0.000    0.000 pathlib.py:719(__fspath__)
        1    0.000    0.000    0.001    0.001 pathlib.py:1199(open)
        1    0.000    0.000    0.000    0.000 graph.py:1345(adjacency)
        1    0.000    0.000    0.000    0.000 codecs.py:260(__init__)
        1    0.000    0.000    0.000    0.000 codecs.py:309(__init__)
